,章节,url
0,序章,9502586.html
1,第一章渔村少年,9502587.html
2,第二章 蚌女赠珠,9502588.html
3,第三章 珍姨,9502589.html
4,第四章 庄园,9518269.html
5,第五章 厉苍海,9518270.html
6,第六章 异变,9518271.html
7,第七章 血脉武者,9528045.html
8,第八章 古庙遇尸,9532176.html
9,第九章 斩尸,9544455.html
10,第十章 吴家,9548023.html
11,第十一章 斗殴,9565889.html
12,第十二章 勇不可当,9566597.html
13,第十三章 獠火枪法与日月刃,9584227.html
14,第十四章 王天豪,9596046.html
15,第十五章 金玉珍,9599755.html
16,第十六章 金丝鼠,9610663.html
17,第十七章 天阴姹女,9620959.html
18,第十八章 进阶,9627249.html
19,第十九章 厚土之体,9629965.html
20,第二十章 挑战,9647722.html
21,第二十一章 一息六斩,9658626.html
22,第二十二章 碾压,9666762.html
23,第二十三章 第一武徒,9675617.html
24,第二十四章 寻脉使者,9687839.html
25,第二十五章 石猴废脉,9696363.html
26,第二十六章 领悟气感,9705316.html
27,第二十七章 梦猿,9750406.html
28,第二十八章 目力异变,9774543.html
29,第二十九章 紫钢弓,9832077.html
30,第三十章 离意,9842796.html
31,第三十一章 风火筒,9852611.html
32,第三十二章 误杀,9861697.html
33,第三十三章 亡命而逃,9866154.html
34,第三十四章 青风驹,9877134.html
35,第三十五章 密林追逐,9889399.html
36,第三十六章 强弓灭敌,9908147.html
37,第三十七章 密林屠敌,9913574.html
38,第三十八章 鹰飞九天,9922826.html
39,第三十九章 计杀后天,9930027.html
40,第四十章 鹰犬双现,9938777.html
41,第四十一章 拼命,9943929.html
42,第四十二章 生死一线,9957965.html
43,第四十三章 叶红药,9967950.html
44,第四十四章 玄子令,9970350.html
45,第四十五章 楼船,9980163.html
46,第四十六章 误入副车,9983687.html
47,第四十七章 狰目显现,9990673.html
48,第四十八章 金小钗,9997701.html
49,第四十九章 黑魔十三峰,10004489.html
50,第五十章 周狂,10010803.html
51,第五十一章 黑炎令,10010804.html
52,第五十二章 堵路,10022518.html
53,第五十三章 碎石对破玉,10034891.html
54,第五十四章 鹦鹉,10043651.html
55,第五十五章 般若天象功,10054215.html
56,第五十六章 脱胎决,10055848.html
57,第五十七章 魂师,10063524.html
58,第五十八章 真气,10068645.html
59,第五十九章 梦中老者,10076396.html
60,第六十章 淬骨丹（春节快乐）,10082853.html
61,第六十一章 术士,10097041.html
62,第六十二章 吞月式,10108669.html
63,第六十三章 梦境再现,10112103.html
64,第六十四章 比试,10120629.html
65,第六十五章 针锋相对,10123460.html
66,第六十六章 尊灵会和血龙会,10131785.html
67,第六十七章 婉拒,10139434.html
68,第六十八章 广源殿,10145895.html
69,第六十九章 打铁,10149631.html
70,第七十章 离火会,10159998.html
71,第七十一章 灵法殿,10167991.html
72,第七十二章 空间元素感应力,10175812.html
73,第七十三章 术士学徒,10181830.html
74,第七十四章 蕴神术（今天三更哦）,10190862.html
75,第七十五章 法力（第二更）,10194599.html
76,第七十六章 梦境异变（第三更）,10197815.html
77,第七十七章 宗门小比,10213536.html
78,第七十八章 规则,10217688.html
79,第七十九章 观战,10223948.html
80,第八十章 挑战,10227558.html
81,第八十一章 进入前十,10237674.html
82,第八十二章 一败涂地,10239598.html
83,第八十三章 弃权,10248892.html
84,第八十四章 符箓之术,10252263.html
85,第八十五章 梦中凝符,10266783.html
86,第八十六章 争斗,10270490.html
87,第八十七章 气爆术,10278608.html
88,第八十八章 灵目之变,10281442.html
89,第八十九章 一息十三斩（第一更）,10293404.html
90,第九十章 趁手兵器（第二更）,10293405.html
91,第九十一章 古怪陨铁（第三更）,10296258.html
92,第九十二章 沟通异界面,10300203.html
93,第九十三章 冲虚星玄阵,10304732.html
94,第九十四章 拘灵术,10317730.html
95,第九十五章 混沌空间,10319639.html
96,第九十六章 死灵界面,10324858.html
97,第九十七章 种下标记,10328609.html
98,第九十九章 叠加符阵,10336286.html
99,第一百章 法器成,10343533.html
100,第一百零一章 横生枝节,10346270.html
101,第一百零二章 小试黑刀,10350358.html
102,第一百零三章 月光海胆,10355496.html
103,第一百零四章 边塞三州,10364360.html
104,第一卷 勇士之门 第一百零五章 夜袭,10368993.html
105,第一百零六章 接连激变,10370642.html
106,第一百零七章 首次布阵（第二更）,10377139.html
107,第一百零八章 烟罗（第三更）,10380386.html
108,第一百零九章 伏击蛮族（第四更）,10381806.html
109,第一百一十章 珂儿,10394386.html
110,第一百一十一章 林间偶遇,10398325.html
111,第一百一十二章 血字任务,10409969.html
112,第一百一十三章 鹰愁涧,10411875.html
113,第一百一十四章 遇先天,10421106.html
114,第一百一十五章 战黑蛇,10428724.html
115,第一百一十六章 追杀,10439633.html
116,第一百一十七章 先天之战,10443076.html
117,第一百一十八章 洞中疗伤,10448506.html
118,第一百一十九章 烈炎箭,10450619.html
119,第一百二十章 比试,10462618.html
120,第一百二十一章 两败俱伤（第二更）,10473495.html
121,第一百二十二章 二女（第三更）,10481335.html
122,第一百二十三章 调令,10486971.html
123,第一百二十四章 特权,10487938.html
124,第一百二十五章 符室之争,10497363.html
125,第一百二十六章 叙旧,10497365.html
126,第一百二十七章 拦路,10508494.html
127,第一百二十八章 修炼脱胎决,10513472.html
128,第一百二十九章 镇魂咒,10517134.html
129,第一百三十章 冯离身世,10532297.html
130,第一百三十一章 被袭,10532695.html
131,第一百三十二章 突围,10539085.html
132,第一百三十三章 逃出生天,10541052.html
133,第一百三十四章 万劫尸魂咒,10549472.html
134,第一百三十五章 星札岛,10549791.html
135,第一百三十六章 乔装入荒,10551572.html
136,第一百三十七章 四不象,10565390.html
137,第一百三十八章 平蛮和凶蛮,10565484.html
138,第一百三十九章 鸦神祭祀,10611483.html
139,第一百四十章 天狼部,10662892.html
140,第一百四十一章 血腥剧变,10662893.html
141,503 service temporarily unavailable,10663040.html
142,第一百四十二章 废墟,10663052.html
143,第一百四十三章 复仇,10691894.html
144,第一百四十四章 狙杀,10696380.html
145,第一百四十五章 拯救,10708496.html
146,第一百四十六章 遭伏,10710214.html
147,遇仙记,10710442.html
148,第一百四十七章 绿洲偶遇,10720507.html
149,第一百四十八章 误会,10723498.html
150,第一百四十九章 共赴圣山（第一更）,10731074.html
151,第一百五十章 白马山（第二更）,10733121.html
152,第一百五十一章 海族使团（第三更）,10734297.html
153,第一百五十二章 多首凶蟒,10745033.html
154,第一百五十三章 大祭司,10748327.html
155,第一百五十四章 海族圣女,10756356.html
156,第一百五十五章 青魔狼,10756859.html
157,第一百五十六章 残缺雕像,10772393.html
158,第一百五十七章 神秘石块,10773101.html
159,第一百五十八章 血雾,10781361.html
160,第一百五十九章 凶兽潮,10789384.html
161,第一百六十章 圣女香珠,10796661.html
162,第一百六十一章 勇士之河,10798261.html
163,第一百六十二章 青冥果,10807016.html
164,第一百六十三章 冰晶蝎,10809478.html
165,第一百六十四章 各行其事,10818006.html
166,第一百六十五章 铤而走险,10818856.html
167,第一百六十六章 引诱,10827516.html
168,第一百六十七章 惊变,10831273.html
169,第一百六十八章 虐杀,10841277.html
170,第一百六十九章 翻江倒海,10842343.html
171,第一百七十章 勇士归来,10850744.html
172,第一百七十一章 兽魂清点,10854316.html
173,那些年、那些书（月初求保底月票）,10857159.html
174,第一百七十二章 居心叵测（第一更）,10861885.html
175,第一百七十三章 交涉,10866278.html
176,第一百七十四章 血仇比试,10868338.html
177,第一百七十五章 破敌,10875498.html
178,第一百七十六章 告诫,10877126.html
179,第一百七十七章 解咒,10883362.html
180,第一百七十八章 神魂反噬,10886484.html
181,第一百七十九章 真气离体,10891847.html
182,第一百八十章 吞噬,10894219.html
183,第一百八十一章 护送,10899999.html
184,第一百八十二章 先下手为强,10905459.html
185,第一百八十三章 重返故里,10910357.html
186,第一百八十四章 意外之喜,10914157.html
187,第一百八十五章 金龙帮,10921745.html
188,第一百八十六章 血腥屠戮,10926999.html
189,第一百八十七章 逢离,10935371.html
190,第一百八十八章 立威,10936993.html
191,第一百八十九章 离去,10942767.html
192,第一百九十章赠果,10950054.html
193,第一百九十一章 偶遇,10954142.html
194,第一百九十二章 寻觅,10957203.html
195,第一百九十三章 焰舞,10970660.html
196,第一百九十四章 失之交臂,10976728.html
197,第一百九十五章 举杯相庆,10983675.html
198,第一百九十六章 意外,10988044.html
199,第一百九十七章 嘲笑,10995258.html
200,第一百九十八章 甲乙之争,10998002.html
201,第一百九十九章 惊鸿一刀,11007759.html
202,第二百章 尘渺戒,11011151.html
203,“玄门”,11011152.html
204,第二百零一章 赠丹,11016972.html
205,第二百零二章 打造,11024944.html
206,第二百零三章 似逢意外,11030810.html
207,第二百零四章 乾鹦一族,11033249.html
208,第二百零五章 新兵初成,11040417.html
209,第二百零六章 召见,11043575.html
210,第二百零七章 魔阳大典（第一更）,11048816.html
211,大汗，后台卡重复了一章！,11049102.html
212,第二百零八章 参悟火经（第二更）,11049869.html
213,第二百零九章 吸日式（第三更）,11052500.html
214,第二百一十章 神兵初现,11062607.html
215,第二百一十一章 一路向西,11065327.html
216,第二百一十二章 改道而行,11075119.html
217,第二百一十三章 消失的灵脉,11079090.html
218,第二百一十四章 升仙大典,11086602.html
219,第二百一十五章 通天仙教,11090115.html
220,第二百一十六章梦虎,11096346.html
221,第二百一十七章分道扬镳,11100992.html
222,第二百一十八章 追逃,11105794.html
223,第二百一十九章 险中求生,11106727.html
224,第二百二十章 临死一击,11112210.html
225,第二百二十一章 劫后余生,11114043.html
226,“”新的篇章开始了！,11114463.html
227,第二百二十二章路见不平,11126592.html
228,第二百二十三章出卖,11128725.html
229,第二百二十四章升仙轶事,11139318.html
230,第二百二十五章 换花,11142242.html
231,第二百二十六章升仙拍卖会,11148426.html
232,第二百二十七章天虞城,11151721.html
